Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11
-77,-62,-55,-89,-91
-77,-62,-52,-89,-88
-74,-58,-54,-91,-89
-78,-62,-55,-93,-86
-84,-51,-62,-90,-86
-74,-55,-60,-89,-85
-79,-59,-54,-91,-89
-78,-63,-58,-89,-85
-77,-63,-54,-91,-85
-75,-63,-58,-94,-90
-73,-64,-52,-88,-87
-83,-63,-57,-89,-85
-75,-63,-58,-91,-87
-70,-64,-50,-90,-87
-72,-56,-54,-89,-89
-77,-64,-54,-89,-85
-79,-54,-56,-89,-85
-77,-66,-55,-89,-85
-70,-65,-55,-90,-90
-75,-63,-56,-90,-85
-68,-61,-55,-89,-85
-76,-58,-57,-90,-88
-77,-64,-53,-89,-88
-77,-60,-57,-91,-89
-78,-63,-61,-88,-85
-71,-64,-54,-89,-91
-75,-51,-60,-90,-86
-73,-64,-54,-90,-87
-69,-62,-54,-90,-90
-70,-64,-55,-91,-86
-74,-52,-54,-88,-85
-81,-55,-64,-90,-86
-72,-63,-54,-91,-86
-80,-55,-63,-90,-86
-79,-58,-53,-89,-89
-75,-53,-60,-89,-85
-77,-62,-53,-89,-85
-75,-58,-51,-91,-85
-72,-64,-55,-90,-87
-77,-60,-53,-89,-87
-72,-58,-51,-91,-85
-70,-59,-54,-90,-87
-76,-63,-56,-91,-84
-80,-63,-57,-93,-85
-77,-65,-56,-89,-85
-72,-61,-57,-89,-85
-72,-64,-54,-90,-85
-86,-58,-54,-91,-89
-77,-65,-57,-91,-84
-70,-64,-51,-95,-87
-79,-58,-54,-90,-89
-84,-63,-58,-89,-85
-75,-56,-55,-92,-87
-78,-63,-58,-91,-85
-72,-64,-54,-90,-87
-71,-64,-54,-93,-89
-78,-64,-54,-92,-85
-74,-63,-53,-89,-85
-84,-58,-47,-91,-89
-77,-63,-53,-89,-89
-77,-64,-50,-89,-85
-79,-63,-57,-89,-85
-75,-61,-56,-91,-88
-71,-64,-52,-90,-87
-76,-64,-56,-93,-87
-70,-60,-53,-88,-87
-69,-63,-53,-92,-86
-79,-55,-53,-91,-85
-100,-64,-54,-90,-88
-81,-58,-54,-91,-89
-74,-63,-56,-89,-85
-71,-64,-54,-89,-87
-76,-65,-56,-92,-84
-77,-64,-56,-91,-90
-84,-53,-51,-87,-85
-77,-62,-53,-89,-89
-73,-64,-53,-89,-83
-74,-58,-48,-87,-82
-79,-58,-52,-91,-89
-81,-63,-56,-90,-85
-71,-64,-54,-90,-87
-72,-64,-55,-90,-87
-81,-63,-55,-89,-85
-77,-54,-50,-91,-89
-74,-52,-51,-91,-87
-71,-64,-53,-90,-88
-73,-58,-53,-91,-91
-77,-61,-53,-89,-85
-70,-57,-53,-91,-87
-68,-57,-54,-91,-87
-77,-61,-52,-89,-88
-85,-65,-56,-90,-86
-81,-54,-62,-93,-85
-75,-64,-55,-89,-85
-75,-59,-58,-90,-85
-76,-63,-59,-88,-85
-82,-63,-58,-93,-85
-69,-64,-53,-90,-87
-83,-63,-57,-90,-85
-69,-64,-53,-90,-90
-77,-61,-54,-89,-85
-77,-63,-53,-90,-85
-80,-58,-52,-94,-87
-77,-55,-58,-87,-84
-77,-63,-59,-89,-85
-80,-59,-55,-91,-89
-73,-56,-55,-87,-85
-73,-64,-55,-89,-85
-83,-55,-58,-89,-85
-75,-58,-59,-91,-92
-83,-57,-59,-90,-85
-72,-64,-55,-90,-87
-75,-58,-59,-91,-90
-68,-64,-51,-89,-87
-83,-58,-52,-84,-89
-77,-55,-65,-91,-89
-77,-63,-58,-91,-85
